size,precision,time
512,float64,0.00014081926345825194
512,float32,0.0001305103302001953
512,float16,0.00013174962997436522
1024,float64,0.0004544619560241699
1024,float32,0.00020413875579833985
1024,float16,0.00013439111709594726
2048,float64,0.0017574881553649902
2048,float32,0.0008922694206237793
2048,float16,0.0005406720161437988
4096,float64,0.006966348075866699
4096,float32,0.0035045305252075195
4096,float16,0.00209336576461792
8192,float64,0.02788740177154541
8192,float32,0.013956225872039795
8192,float16,0.008319647407531739
