size,method,time,speedup
512,Naive PyTorch,0.00014146528244018554,1.0
512,PyTorch Convolutions,0.0001366520881652832,1.0352222519211027
768,Naive PyTorch,0.0001332988739013672,1.0
768,PyTorch Convolutions,9.608964920043945e-05,1.3872344733334458
1024,Naive PyTorch,0.00020413694381713867,1.0
1024,PyTorch Convolutions,9.673871994018555e-05,2.110188598147241
1536,Naive PyTorch,0.0005117165565490723,1.0
1536,PyTorch Convolutions,0.00012862367630004883,3.978400954388504
2048,Naive PyTorch,0.0008921605110168457,1.0
2048,PyTorch Convolutions,0.0002240877151489258,3.9813004047273517
3072,Naive PyTorch,0.0019801998138427733,1.0
3072,PyTorch Convolutions,0.0004977044105529785,3.9786663968733094
4096,Naive PyTorch,0.0035027300834655764,1.0
4096,PyTorch Convolutions,0.0008792027473449707,3.9839844609712287
6144,Naive PyTorch,0.007860444164276123,1.0
6144,PyTorch Convolutions,0.001976791572570801,3.976364667547465
8192,Naive PyTorch,0.01395208101272583,1.0
8192,PyTorch Convolutions,0.003530483627319336,3.9518894535476203
12288,Naive PyTorch,0.03139183502197266,1.0
12288,PyTorch Convolutions,0.008090159225463868,3.880249343321514
