size,method,time,speedup
512,Numpy+memory,0.001415848882662623,1.0
512,PyTorch,0.00013494877815246583,10.491750292566485
768,Numpy+memory,0.005406121718063371,1.0
768,PyTorch,0.00013095178604125978,41.28329884985327
1024,Numpy+memory,0.010723501225974286,1.0
1024,PyTorch,0.00021167960166931153,50.65911472531336
1536,Numpy+memory,0.02375811066008573,1.0
1536,PyTorch,0.0005225042343139648,45.46969976478668
2048,Numpy+memory,0.056357907910718985,1.0
2048,PyTorch,0.0009116482257843018,61.819796624113
3072,Numpy+memory,0.12300969910832633,1.0
3072,PyTorch,0.002017204236984253,60.98028987497442
4096,Numpy+memory,0.2257174926419412,1.0
4096,PyTorch,0.003568622064590454,63.250601648635275
6144,Numpy+memory,0.4949975460767746,1.0
6144,PyTorch,0.008003041982650757,61.85117448463293
8192,Numpy+memory,0.8721874592796205,1.0
8192,PyTorch,0.014200163364410401,61.42094544247056
12288,Numpy+memory,2.032082381071868,1.0
12288,PyTorch,0.031941768789291385,63.61834231775956
